Rank,Network,Address,Prizes,Balance,Winrate
310,0x57ee5c768481a3e02f0c78d1d774c1ac89e46cfc,polygon,716,4646,16.15%
311,0xc58b1934697879c122d53fdb26a3a604292e993b,polygon,145,1044,16.12%
312,0x0c46410076a3a2d5d5bc34de92f03a2ba1c30cb9,polygon,3445,24672,16.12%
313,0xe614e406c4494353cbd8843e6843a1f9a2859956,polygon,1450,10445,16.06%
314,0x4e648ef5a384381069a1b04b621c41c5a725eea7,polygon,16,116,16.00%
315,0x8bde47593d3a6c07f726281dd80b68a8a27a40a3,polygon,1487,10437,15.97%
316,0x2916b574fd7002bed7407c31403869fb008b4a14,polygon,30,218,15.97%
317,0x512a519a8c6b35b6af39c3a6d219c56ab380da13,polygon,277,2012,15.97%
318,0xa0b038b22ce84eae04acdb4cf8d9a4612efad033,polygon,1148,8224,15.90%
319,0x238926025e84475e3182774df480021470f8f978,polygon,7756,56355,15.84%
320,0x4cbe92b8910c034236a0d84e9aea97486d8032c9,polygon,70,514,15.78%
321,0xdd0623a4113dcf4d64c2a5b26dd38711e4eefaf6,polygon,66,485,15.76%
322,0x78abf0cbae4d8d8e7c7611ae95378239388add16,polygon,17,118,15.70%
323,0x0f40a1082ef660b4596e2e79bab42aad4af539ed,polygon,1403,10403,15.59%
324,0xcef64ac8f0b66a75e799b52df041b637841475c5,polygon,252,1834,15.57%
325,0xec4cc3ed08037424d1eaabca3145bbc33c5b84d3,polygon,11,82,15.56%
326,0xa1d0ad6ec440a34f10e8a1658918d22c3ff49db4,polygon,286,2124,15.56%
327,0x0ce54130c12b04e783473f98866f8736bda0b24a,polygon,3911,29019,15.55%
328,0x408f5f00315bca2e1ae1a2f0f4fc50c8df5d79f1,polygon,32,149,15.50%
329,0xe4724b6686dc792a816c229deb067e390b006ee2,polygon,41,231,15.50%
330,0x5cac53e0db0436ffabeac77570a1e02b49a809cf,polygon,18,134,15.50%
331,0x4f1519f76b95107ae47083263f0de50914001875,polygon,18,134,15.45%
332,0x093c64757a2a61d88cf4a71f5851f1c2ca2feea9,polygon,290,2170,15.43%
333,0xda9c008c412a6922d515069f57e3125fb944f83c,polygon,203,1408,15.41%
334,0x8df68cd876173fc5de3054151e878f2645e02c01,polygon,1386,10386,15.40%
335,0x8d5b40d109e928ff095ce8ff2f49025142b15e16,polygon,2056,15346,15.38%
336,0xe43391db6dd424b3dd6a0e5aa816be9d9792ae5d,polygon,460,2966,15.36%
337,0x858d669c68397fb3303c8ce1743f705544a0df96,polygon,20,150,15.35%
338,0x52a427699a5d5cd5165c7973c0073b403f6b7fb3,polygon,1531,11531,15.31%
339,0xea1528355f669b0b4c462fb2548d56f870916738,polygon,1545,11528,15.25%
340,0xf0e3e5cba62df1883acaa79bda50c048fb0339b3,polygon,1543,11526,15.23%
341,0x5e665df2d8ed079abea359be319f92d2ea6fd354,polygon,1521,11521,15.21%
342,0x5472b638c786ec88bd44e2aeadeb96c347b596da,polygon,409,3020,15.18%
343,0x8c32d03522edc1697d0db33b4d32e6b7c0d21e65,polygon,1316,10000,15.15%
344,0x2daa9036933f1dae2e4de49824b23f63c0b970ed,polygon,1357,10357,15.08%
345,0x25409b41c22cb6b457d5f6e4a0b84c7c8f7693ee,polygon,16,122,15.07%
346,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,polygon,448,3195,15.05%
347,0x59ef72f40c051d30ab9f2ad08dc65a285f0e9b34,polygon,1520,11527,15.02%
348,0x8b3daad0185a25562f1f6288bcf7bc6b902e4482,polygon,15,115,15.00%
349,0x4ef1f62ff21522c3ba9197a7ced991291cc49924,polygon,28,215,14.99%
350,0xb3412a244bc6349fe4c38efa343e8b566db9cfbe,polygon,958,7238,14.98%
351,0x6ea37ed3c988c215957fcdeb7c381fd827b9bf5c,polygon,791,6097,14.91%
352,0x36d20ca87ecf77f2bd717f7288fe1d2cf842c2c1,polygon,163,1257,14.90%
353,0xbc1dce42d2629bccc78fc7c3ff499a0ac17161af,polygon,1500,11493,14.90%
354,0x5c52d1ee87d175ee71d444a90fd63cedea7bea53,polygon,11,85,14.81%
355,0xec387f9748d93c674ddc72dce9823efd2250def8,polygon,216,1680,14.75%
356,0x2a2a054e06550d0ac4d326178faccb516561a4cd,polygon,147,1147,14.70%
357,0x704b70902e88e3f3fca34cef58f685aff6c338d9,polygon,1325,10323,14.66%
358,0xb5cbf190fabe24d619b0d8a5b03f6bf0d10144d2,polygon,143,1120,14.64%
359,0xcd43406fabcab5de9d46fcf18ecc0cd89a94d0ce,polygon,1558,12236,14.59%
360,0xfaa549ecc9500e5a197fff0c2833166edc6142c4,polygon,56,432,14.59%
361,0x857084a34a0ba5d5b2fc7f19f633d3ff4ccec51a,polygon,51,401,14.59%
362,0xec87c0af91eedf4436efaae60602f24b9b948456,polygon,80,630,14.55%
363,0xfd1da8fd51f577da173a759d2ce9d5d8919adbac,polygon,21,166,14.51%
364,0x8234c8b268ebd274edc469e219e3ea37951d2e8f,polygon,1461,11451,14.51%
365,0xa8a551f0255346300f55eb134fb8574a4994a096,polygon,145,1145,14.50%
366,0x92b33b117d44b16e42b1e12c392916e496d8f575,polygon,10,79,14.49%
367,0x37f1f0778ebff3bd2f5a4c6ff2fabe48857c822e,polygon,85,198,14.43%
368,0x256646ebe34336eb79ffcd5cf9d5500e55263756,polygon,15,119,14.40%
369,0x27dfa6ba1dd770a675791c528d0346885cee982f,polygon,216,1716,14.40%
370,0x8e316c9149828624f9a470bc45d7015432df3637,polygon,1295,10295,14.39%
371,0x994db2e89a886a80c5495accfdb18e733b434a2b,polygon,3151,23623,14.39%
372,0xdd582a9afa3e1410a005d9a4902dfd388d0360af,polygon,26,207,14.34%
373,0x66c184dcfdbbb4a1e95ae2feb7890f539f5f8429,polygon,20,160,14.33%
374,0x7482b336283041386942fc106fd47f99976d1a06,polygon,65,520,14.29%
375,0xb8aaccb187705752a837a16e9ca38a678c8e976a,polygon,5,40,14.29%
376,0x536a510d175fee56d7e2b1328715b601ad0bc64c,polygon,637,4397,14.21%
377,0x2f173955c427e0c7cd12253fe437c726efc22fa6,polygon,1278,10278,14.20%
378,0xc8fec7d6eddce3799faa4a71b3aa993cdf17a217,polygon,385,2936,14.20%
379,0xab83afc880140201e94d5297085fbe17c804b78d,polygon,11,81,14.18%
380,0x16059b9a2a85dc6a692784e14a7e15a82ef87905,polygon,21,169,14.16%
381,0x851778371b57163466e7b0e6df1feb3fc5a27095,polygon,300,2426,14.11%
382,0xffa5457c3b8248d6099ecfb07012218be348de48,polygon,11,89,14.09%
383,0x5b5d6d2cd7ab7708b7cc8131902aa355070f45dc,polygon,1477,11764,14.03%
384,0x81e0e26616ee1ff383773ce6c7965eb50194d0ac,polygon,599,4871,14.02%
385,0x1b1df64c59d6eea61a90094afbf930d90caf8a5e,polygon,2813,22803,14.01%
386,0x8ba797284ce42de84f03e59891e596fe2328547a,polygon,50,408,13.97%
387,0x650c1e71fd009dbd8344bb63a8727b538397b5d3,polygon,16,131,13.97%
388,0xdde74f034163192dd2170bb56b9cac2d45ce0a36,polygon,11,90,13.95%
389,0x88e3db8b8675e31dbc03f1151438deaf4aa7ca51,polygon,663,5420,13.94%
390,0x60ec36607eb7db54b30cfb867cb440184307a38a,polygon,134,1097,13.91%
391,0x63f59dfe5a12be4ecab6ad0ecca568531077af42,polygon,473,3881,13.88%
392,0xc49b2bd71f3283dd294dada5851b39cf9ef14abb,polygon,25,205,13.86%
393,0xdb668948e1e96db9aa760d0ba2811f9904c50b7c,polygon,66,543,13.84%
394,0xc9a1171dc1aa89b1e6bdd2706f8a1e43dc68c3fa,polygon,10,82,13.80%
395,0x6ffcbea30114d74570f678e4ac017d4cf0c0417a,polygon,170,1403,13.79%
396,0x745eb6c0f9586e2da7ecd8450bd4ef96c149182d,polygon,11,91,13.75%
397,0x422d58a86e7ebc9e0d6308f732c58db398e00aa9,polygon,115,953,13.72%
398,0x30d18bc825229be06303c91b4ab2d4a2c952e8af,polygon,20,166,13.67%
399,0xfe6a2f082a402d08e2b5e25d230407a905db2bc3,polygon,170,1332,13.65%
400,0x54291d14e7b1c33abe9d59765b065a2f782b202b,polygon,543,4523,13.64%
401,0x8c6640728e75df626ee419f2e9461601fb02952a,polygon,6,50,13.64%
402,0xdae0061e2d8ae3246ba9df751118ef9aa9e77063,polygon,189,1576,13.63%
403,0x8148e4bd8f81a477a21f2142edbaf4e0329911cf,polygon,3415,28259,13.61%
404,0x79f94ae8a65b331afef665ad628fb2853c2ef307,polygon,11,92,13.57%
405,0x3e20c32e56d83f7c2b16b0531c7b28a5c49f768c,polygon,135,1130,13.57%
406,0x8f7e4f6e71f0b25a3af594292147da0eed5f80b0,polygon,329,2756,13.56%
407,0x1cbcad072fa981f00518bcf6efe1480257dc2bc1,polygon,678,5600,13.54%
408,0xef5ad662a5a42c3023e009035ee235082800b924,polygon,10,84,13.49%
409,0x3c0c4d32749ddcb0a3e7dfabc223b8eab919d4f3,polygon,51,429,13.48%
410,0x69b552292fb5e71632bfecbd592c03d7998259ba,polygon,119,1002,13.48%
411,0xd43f3716cbb9386352880a9bd52f7f07ac01752b,polygon,668,5636,13.45%
412,0xa06f0ce631da69798412f943dc2f607fb0a27786,polygon,69,584,13.39%
413,0x0af9db3ae05e6b51781d6bb7763ca42af50c7776,polygon,500,4073,13.36%
414,0x0c54145f815ab79d27642bfd059c24244773d17f,polygon,59,459,13.35%
415,0xf25a1a60b1ed63c7dbfc0ae2fab46fb7ece7069d,avalanche,6,51,13.33%
416,0x7e4d8e1de77d504349dbb5021561f44ca3ff8d83,polygon,4761,40538,13.31%
417,0x6196a49842671ebcef2698e0642e155b06264a30,polygon,58,495,13.28%
418,0x626924b59a246efdb551e56ab61c547485ce38fc,polygon,303,2600,13.19%
419,0x64a742d1cbf940af2c36b64dd900905d45f45d43,polygon,133,1126,13.17%
420,0xf2c5919aa87823ae2d04017c3bd8db1535114222,polygon,21,138,13.15%
421,0xe5767edb4204655d4fde114f3c9ec95737c20c56,polygon,671,5649,13.14%
422,0x7904fba88101dae6610e99cc61f9a1f0b5131d31,polygon,120,1034,13.13%
423,0xb79753f7263552a248e8e44c56e208e3f12458ed,polygon,33,284,13.12%
424,0x0800747dd7b1308c9f124328921ed796fe9ace89,polygon,1343,11178,13.08%
425,0x96ef41f43bb2a29d99e5b2e9221f7074478e0836,polygon,10,87,13.06%
426,0x9e389cd652b9e8d4b8824ee5939b2fc75b891a84,polygon,13,113,13.01%
427,0xb588ecec91e33c14a7ae52f6a2e859fd77d5c673,polygon,15,113,13.00%
428,0x24c07ec63423146646fa96d1c05f67547aa2acd1,polygon,13,113,13.00%
429,0x0dd471af28614ccdd5751477f5d270605f978d4e,polygon,5,44,12.97%
430,0x73462fb5e7db4e647b437447082251dd67cde580,polygon,7,61,12.96%
431,0x638c0aa4dc7326c35b19f924706e4e5a1bbfc1b6,polygon,607,5173,12.92%
432,0x69aa4b1c616c9f2a08d57bc8809a199d07c978c0,polygon,128,1122,12.88%
433,0x388189bfbc2851d1e0ba6c0ebfcd99bf3fb29c0b,polygon,2075,18063,12.87%
434,0xe773b3dc818ebbcf13f224da7f17c86f87afd0da,polygon,20,176,12.81%
435,0x13dd58c9fcddb21161b3c26a408e7b1edfc08a1a,polygon,5,44,12.80%
436,0xe290459e93e7eae5330c74c74abc48fcdfe9ddee,polygon,1318,11364,12.78%
437,0xf940b05858312cb3655d160b28e0bb4183aede7e,polygon,73,644,12.78%
438,0x554ba0cf257f62f9e4ce7647c1163ef0d877a0b9,polygon,281,2481,12.77%
439,0xac73e8314fa9bf082fc4cebf599b5701e162f95a,polygon,518,4398,12.77%
440,0x777c86972819dc421f648d9a154c6bcf6760c2fa,polygon,280,2479,12.73%
441,0x60a2f7f2d58db2d8c60870b3afd5cec44e7d9ad4,polygon,125,1109,12.70%
442,0x32ad379d17a523c79cba370a2bd645637ed4f4af,polygon,84,568,12.69%
443,0x99b5ed7fc6c935845f0df907f7a882f30c3eaea4,polygon,80,712,12.66%
444,0x3f543e2bec898211feb7e3bb1b4ad6cd0926d657,polygon,448,3945,12.65%
445,0xef291bb068a7d55e7ea94653d1299af15e7492c5,polygon,52,463,12.64%
446,0x322fba804a8fcb91bccf842084385b1b1b0d9891,polygon,1344,11840,12.64%
447,0x19c92ca1c534078a3131a3c846ae83cc496d5645,polygon,240,2140,12.63%
448,0x8299a6aad14c685134072b9cbf884d5771915c92,polygon,277,2472,12.62%
449,0x70144e5b5bbf464cff98d689254dc7c7223e01ab,polygon,1341,11087,12.55%
450,0xf7c8a4a99ba34b4744d08999dd017b5faa4d3378,polygon,1692,14985,12.52%
451,0x765364e286988305f5b2ba8a6f12a4fd8a15a19e,polygon,92,738,12.50%
452,0x2f7a13cac95613cb2232d7ca81c0506159288340,polygon,5,45,12.50%
453,0x02effda7463c2a02ba3101f2b3619bf6be476755,polygon,1,9,12.50%
454,0x6146fa97072825981cd6648bb99ca5661a0b798b,polygon,1249,11249,12.49%
455,0x6d3ffd7238ce8850caa6390bc7fe6e7c6e069c03,polygon,339,3057,12.47%
456,0x6606677c4b5181786b0eea37895e7db9ac053390,polygon,642,5000,12.41%
457,0xf6b5e67f6aefe192e844b3ae74f499c917714e1a,polygon,50,454,12.38%
458,0x3e4d4812445f563b29a2221f4f58e4c8d3159f41,polygon,1248,11244,12.37%
459,0x9f2b2af2771747de236cdc38f10a169897330324,polygon,70,637,12.35%
460,0xcd8a8b8988a56c6aac8c42a592610ce2503ee0fd,polygon,137,1250,12.31%
461,0x377c1ade5b1c30fbfafd80645cafbe747998594a,polygon,10,91,12.30%
462,0x47b694c7d82acc34975061aa983e17e5564d75b9,polygon,11,100,12.30%
463,0x70f609976e161581bdeae063cc0c915a9074099e,polygon,43,393,12.30%
464,0x798347fb75b7a5663f5d99de4b5a7998e4aaeab1,polygon,2489,21535,12.30%
465,0xd095e0f8c72e22319846b643c4bac0cac1f67006,polygon,124,1133,12.29%
466,0x05ab2082770a630a091c192e5815830a09d11f68,polygon,547,5000,12.28%
467,0x75db28c2f008b8aa8f65195b1dfc81026e019b6a,polygon,1233,11228,12.28%
468,0x8a1ec127978bcc7499b2a188df2bd1810f522ac7,polygon,20,183,12.26%
469,0x005ca2155ee478d0ca33916d9f7df36d1490ce1f,polygon,1226,11226,12.26%
470,0x220abd90038845893357e2305c638f817a453959,polygon,123,1128,12.24%
471,0xd94b9a07f7823cedeee3e5955a37c55e88a998b2,polygon,61,560,12.21%
472,0x07e836e86f212229c5c4cea8fc556eca87cfab64,polygon,3657,33670,12.18%
473,0x097a877ef27b1d7d0c63d10db3eefc3753aaca7c,polygon,64,591,12.15%
474,0xdc3b7491414f0ca46121b7612cd271851cdb91fb,polygon,173,1602,12.10%
475,0x0f262853a5a3baecb7a4407b6bc0812d3e3360d8,polygon,530,4911,12.10%
476,0x6d98f6593fe7239bfbf23ccc21b1c97122cd95d3,polygon,1947,17927,12.08%
477,0x3de8fbf20988cee5586f1b3cc834d66e1fa2667e,polygon,122,1134,12.06%
478,0x7092fdbc448698461a3ae98488c35568f368e0ad,polygon,1307,11203,12.02%
479,0xc13e11e91523a08332d8e58873354e44ea2ea3e5,polygon,121,1119,12.01%
480,0x5b0a9d1445392f1b9e739be8a48f72ff5029e927,polygon,20,187,12.01%
481,0x577b860fd66e81e7c656b851bdb4e8384a9df319,polygon,1940,17913,12.01%
482,0xcded63761b601f817fc8c7b4a03f15328e45f448,polygon,17,112,12.00%
483,0x54e90433122861e7abd13c3592daef30e211bc17,polygon,6,56,12.00%
484,0xe67c4861bdb29bca2b2082afa508cebf4e7d8aa2,polygon,6,56,12.00%
485,0xae3997645acb7f8dd302156e990e4107a8e9778f,polygon,6,56,12.00%
486,0xe1b601dd7c179481b4830a3aa73da39a83f44f8b,polygon,6,56,12.00%
487,0x1dc5c68066ac61b2355f99830ecd5d34cac3d949,polygon,6,56,12.00%
488,0xe68c215a15c70ee9e16dac21726a41bae9c8c004,polygon,6,56,12.00%
489,0xde58096b3898662e6688c34629fe1942f8cdeff3,polygon,1205,11207,11.99%
490,0xe573cdfaf64f557cba2dac9ec45548c734105f9d,polygon,2406,22391,11.95%
491,0x3f727e63369f5d64a844ddfd2b21d1780e02e6f1,polygon,10,94,11.91%
492,0xb3313578fce477440fa1c71456131ed992cd5c3e,polygon,1901,17869,11.87%
493,0x4af2f22ec43a27d3a2120d8a338edb3876860b54,polygon,1895,17875,11.86%
494,0xfbc7fec691e289e7a5762d6d8bf232ae4a3c2328,polygon,1020,9487,11.85%
495,0xcf052107eade84ebec14aeffe3405ab84c1aa67c,polygon,344,3249,11.84%
496,0x8d70d01e2641bec3f42c934cb04699e790cd0941,polygon,12,114,11.80%
497,0x995514150da40cc16dc536d1deb566af0978999a,polygon,1284,12134,11.78%
498,0xb8688028c54efe7d6e27405616526b23c7ae6948,polygon,248,2353,11.78%
499,0x80d508898ae8098abfded871e9ea75d624aae3dd,polygon,138,1313,11.74%
500,0x37bdbd9ed6f5d9fbe2c3c53e7b34dc99639951db,polygon,53,506,11.71%
501,0xa080fda810a11d320916436185d7b2acf03cedfd,polygon,65,621,11.70%
502,0xa30ff4ed003c4403f3776a72e4b0c66292d43474,polygon,21,201,11.69%
503,0xd1dac732fe775cb4c86e6473bd89accd00928b4e,avalanche,10,96,11.67%
504,0x669a9e8dbd4dee43c61db02c0f1df2bd8f653579,polygon,1166,11166,11.66%
505,0xa88c5bc0def1c87d3bd9de174978cdae0e0d0d8e,polygon,723,4466,11.65%
506,0x906aa121d251f68bc1db8bcd62a2ae4e91de732d,polygon,1181,11143,11.61%
507,0xcc34cd61c3c9477a32ea3143482f139519288e2e,polygon,10,96,11.61%
508,0x6f52023a3321799a437fb9f9a04a2ad3ec7b268e,polygon,58,558,11.60%
509,0x8f678841ebd0202bc2e5c2d25b4170b5426abfa3,polygon,5,48,11.58%
510,0xdaa070d909e010211606144ede5b2ca6864c2c1c,polygon,230,2169,11.57%
511,0x6d714e76af538fe76aa81a75b556686ad6002023,polygon,57,551,11.54%
512,0x5f370fc6a9fa3bd387c94423f122351051577b96,polygon,1162,11152,11.52%
513,0xa37b8ce965d9a3f2b9df5cffe5626e6c68215b01,polygon,1216,11151,11.51%
514,0xbdc7a955505e20410061744f556f6dec761bfb8f,polygon,5411,52243,11.51%
515,0x5a872919133bfe715ecb7fc6a12ee2b59768168f,polygon,5534,51750,11.44%
516,0x313d3061406fbd04cf1f6d20ec1e15dfe8cc7060,polygon,620,6038,11.44%
517,0x52cd795cffca6887f3500e83293464e5977cebfe,polygon,1144,11144,11.44%
518,0xe69317578b8975156a8e5867f3ca05ce064d84a7,polygon,1841,17824,11.38%
519,0x484e5849ac667a1856e4b9c258b71f4d5cd48301,polygon,284,2784,11.36%
520,0x9119bc87389700b8970df51a810dd8fa4db38264,polygon,39,334,11.33%
521,0xe9dcfd5650a7429254486487b195afe91761b80c,polygon,1132,11132,11.32%
522,0x34cb23d2f2a707a58539f3f62c45cc171a65cf14,polygon,12,118,11.32%
523,0xbea8af290f670ede2a135f47d7fdcddd056f6d78,polygon,212,2086,11.31%
524,0x1b0665ce0acacf5d5ac970df33e8e8436aa11f37,polygon,21,207,11.29%
525,0x141bce81a0ed9d03a667f089c1a21787b0561446,polygon,1125,11120,11.20%
526,0xedc3411b2d6cb543247a269cfb8a706d81a044da,polygon,56,557,11.18%
527,0xa3c4ef228703b8f5940b81f0423b4140d6c34444,polygon,253,2517,11.17%
528,0x780369cef45565908a2019e977d88b784de03cff,polygon,5,50,11.16%
529,0xf4333670146ed9744232913367793b07d83b6c11,polygon,1009,10007,11.15%
530,0x2a7d165dfb723cea385b9859a40c5465a5573488,polygon,1339,11941,11.15%
531,0x5955037f92e18abb42dee44754615d31190b21bb,polygon,30,299,11.14%
532,0xa8095276892cdb732929dcc033462cb6650e5e58,polygon,825,5545,11.12%
533,0x0ff048e52517a504016be4297f015ca2f6258a09,polygon,111,1110,11.11%
534,0x00fdbb477d1cd363c333eac93fe7eb0397acd470,polygon,3399,32902,11.11%
535,0xfa682c827688a74dc69cbefbcc7af8238d9043d0,polygon,338,3387,11.09%
536,0x1db86cf20757dd4944788933ca4a6c6356b7defe,polygon,23,231,11.08%
537,0xfdb404f42e2cf7edfe22fc7798a721b651d7f1c0,polygon,958,9003,11.08%
538,0xa21df89c3f7375ebe7381cc858e0aa0b7c83aee0,polygon,1661,16608,11.08%
539,0x7893cbc9e89245e0470fe3ce9bb8bc3fb0bf27c3,polygon,501,5016,11.07%
540,0x98320f031d64f1e2290c0d25716f51939edf9a99,polygon,11,111,11.05%
541,0x8374d4373fb859e4e4acc553c0115605258ce7ef,polygon,37,372,11.04%
542,0xa801fada732b176c2e990df197bffa757f296e26,polygon,51,513,11.04%
543,0xbdc888c6b27d5c35117d1751f33f1a4e35c85405,polygon,56,564,11.03%
544,0x0ddd64c53ddaa55342abf2c8222b1ea8c752bd04,polygon,11,111,11.00%
545,0xfe81a7508a18ec19011b3f86782ea6b24c396b33,polygon,186,1881,10.97%
546,0x9bf91b3b6ccf611f63c39a2f06d80bdc82ae607e,polygon,373,3679,10.95%
547,0xa9c047918e3e14edc6923546e77357485e1f3f1b,polygon,1094,11094,10.94%
548,0x9abef0e98b38b01dc21c1153437337e8417aca1b,polygon,1040,10095,10.93%
549,0x3572ca5a03f64c056af5fa0a3499d0138e805f38,polygon,32,325,10.93%
550,0xfdde0c595cff37715707bafd40752d39116ac396,polygon,727,7227,10.93%
551,0xaf5b16f740bed90af42df6c28e5cd79458c102f1,polygon,241,2401,10.90%
552,0x1da035bde09e1d2a5284ed522ed64ab66bc874ce,polygon,218,2218,10.90%
553,0x6ee69f308348e173dc6ca6d467893cba0887c5ce,polygon,11,112,10.89%
554,0x5f6fcec7c071ed5bd4fa821e7d8d85ad83c42d04,polygon,63,642,10.89%
555,0x5b4be0af73c72fa481529a62995e3c9de864d334,polygon,38,337,10.84%
556,0x26e1b32867059ec52f18ca238fd08e837f41cf39,polygon,22,225,10.84%
557,0xb7957368638c2cc1bf7ecf50795d44e61f228b49,polygon,4000,40505,10.84%
558,0x0816ee59daf17db9eb8a3ad6e719b2d762400111,polygon,119,1108,10.80%
559,0x2b223c492d565f707c7703ebe367afe87a0a23fd,polygon,1976,20120,10.80%
560,0x60483b66023a919d57d1005d9d72f211dc9ac05f,polygon,100,1027,10.79%
561,0x6a47f49c6dd58aeb5188337a714e37ff4020a8e3,polygon,22,226,10.77%
562,0x763bd0fd2c0a166dbb7ef9103deaf84201774e17,polygon,52,535,10.77%
563,0x412260ce08d79dac8393b7bc12a2556540990d9c,polygon,1071,11071,10.71%
564,0xbea844caf56901a9f5980e65e73d973befec8b86,polygon,224,2214,10.70%
565,0xdad945c5f6e2d436d850a7282ac272b899f28371,polygon,22,228,10.70%
566,0x877d6210f0527491849d31edca8f7f7256408e6b,polygon,1069,11069,10.69%
567,0x524afab8cf22515f03f2f661ee1875cb4d9b233d,avalanche,50,518,10.67%
568,0x8369eebdba09308c7df44b00d6595e30bd55b976,polygon,80,830,10.67%
569,0xd126dd36d66f02c738395d94f5e10467c29a4c66,polygon,16,166,10.66%
570,0xccbf77d00462334744592d855b1819d4ded29dbc,polygon,537,4425,10.62%
571,0xbdab120d2ad5b69a7f24fab36def34c9fa372391,polygon,5,52,10.62%
572,0x628ba7d320a1e6cbae58af90e2d52cea25373862,polygon,10,104,10.61%
573,0xc5e7c4351b629ea10fab0fdb4c7ecfbbdf5441cd,polygon,138,1391,10.57%
574,0x659c1ffcdb00fc4dfde97257c68b7b1408be85a0,polygon,1290,11873,10.57%
575,0x577e8c52b1c1f62718ad0f52eeb05da3a85f4f18,polygon,1700,17670,10.54%
576,0x8dded91f359f35ce474864eaa845ad373becf1fb,avalanche,5,53,10.50%
577,0xd888f893dd9dec3d063125391a4631ac9589b280,polygon,91,958,10.50%
578,0x71dfba14e3f35f92d6181c0d73c8a4e5bacb57bc,polygon,364,3790,10.46%
579,0x4a219e9f193347542d4ab38985c1b448f61ee15e,polygon,2160,22072,10.46%
580,0x80e23a5841537136c222dc6c25423dfb4d9fdf2b,polygon,10,106,10.43%
581,0xebbd00f326a051707c62b2736faf60830a09fa9c,polygon,948,9941,10.42%
582,0xa8b0a861dd5ba636942a6c1eee409f234ff467b1,polygon,5,53,10.42%
583,0xca369ff30b95b58c581df4ccf5fd555b947e2017,polygon,11,117,10.38%
584,0x27fc6962d402f5f7b017b6744e5e1e99995508e4,polygon,10,106,10.37%
585,0x0e8b9dfb95be9e677f8b7dc598517a458f0d2b06,polygon,1677,17645,10.36%
586,0xd0d8fd83f0cf255875ba13cdce6fd02e85be72b8,polygon,938,9936,10.36%
587,0xb21731d830b7e8460e5d6c66dc1ccc0a5d0a6b87,polygon,545,5708,10.34%
588,0x0057bd83a142da84b6404616c683e21e7dd6fa5f,polygon,6022,58227,10.34%
589,0xfaab0c73edad6b29123a9107ff671bbcbe721b6e,polygon,21,225,10.29%
590,0x8443379cbaf7a68b2cc1626df9e4cb47d525a0e4,polygon,73,782,10.29%
591,0xe693f7eff35591ae465eab8e7d6c0a632d1af540,polygon,1639,17579,10.28%
592,0xc1ddb3208d9aed16f2265f20ae797af026a92b6e,polygon,780,8370,10.28%
593,0xd9edeb0e3fc2dddc39fabe983bb9b524b03499a0,polygon,11,118,10.26%
594,0xe1f24816a60817433790f13eb41a7b2e5e37c8fa,polygon,1160,12359,10.26%
595,0xcb0209f368ec0d67cfd70a5f8b868cd9bcb1242c,polygon,1024,11024,10.24%
596,0xdcc3af08e1aa97effdb2ea6b801593f47b25db06,polygon,27,291,10.22%
597,0x6fda374aa6133b11400d96fafa5b5eda7136898b,polygon,1032,11022,10.22%
598,0x13a751fafd4214cfc1f95f7b027ef432965312c4,polygon,6,65,10.22%
599,0x268d64f79e5a11e62efbe0cb21e66698ae073b37,polygon,149,1554,10.21%
600,0x33209a0af8ba944607d140c58741d37e7a616d53,polygon,10,108,10.20%
601,0x7a45303d4101913bcd6db3143a9d76663c930e72,polygon,10,108,10.20%
602,0xc0c385e74c47e19302be184af3379fc21fbf079b,polygon,5,54,10.20%
603,0xb804f9a8da53141b1b6d18ac5da9436febdc7298,polygon,1449,15164,10.20%
604,0x61e493b937386422e13ef325094e29a45f5f4f8c,polygon,51,551,10.20%
605,0xeb94e6c19b92ec58a9a821c0bb1dc94731c1d274,polygon,10,108,10.19%
606,0xe5151864ba32b400fa17c88d4366596c5b5fb8ce,polygon,147,1591,10.18%
607,0x794d04e96051a61d260eaaae98c4ddb9e42814a7,polygon,1568,15083,10.18%
608,0x65eebaab9e69259dfbc90a5c7ed59a676931f618,polygon,20,217,10.17%
609,0x493bc7aee2ee862fe60c25fee180a381dd3cb6cf,polygon,1016,11016,10.16%
610,0xfbcfd0a67bbc544ff547d04d28b8ff1ea4b9d116,polygon,430,3852,10.15%
611,0x3131e29587fe93f5107e3d89fe8cf89ae2c3438d,avalanche,594,6448,10.15%
612,0xcdbb984f696662ae73a68d89c5187fa3f7de6ca2,polygon,50,544,10.13%
613,0xf7b34b89b2261e31fc0ad6ab6210adc51b6fc9b6,ethereum,612,4461,10.12%
614,0x1731ed34e5877ee798d95b0ca92e78b65185077d,polygon,20,218,10.11%
615,0x9e97e4f97d1caa81375c69d116381dd38fe6fd9d,polygon,1621,17571,10.09%
616,0xe8ce0a887bb383f457bcfa5fe7bab00103cdd2b1,polygon,1024,11012,10.09%
617,0xaf2d432cc82f29540dda65f1b12d784e5c3247e4,polygon,60,655,10.08%
618,0x44a77bd3e1868e94d5a1df304d1d4f778bd543c3,polygon,978,10680,10.05%
619,0xc4ee2997ca9f482d5540ff69d74e67eca411ae7f,polygon,1320,13205,10.04%
620,0xe5b611d4c0226010cca4663f21a667ee657eb129,polygon,106,1162,10.04%
