Rank,Network,Address,Prizes,Balance,Winrate
71,0xcbda66a945936a7ae3329e052ad55916839190f7,polygon,5,16,45.45%
72,0xd907cda4f769179017422f1d3957cba6b0fdaa29,polygon,5,16,45.45%
73,0x0092f2ed23041e6c1355d94a9f4338cf779d03d4,polygon,2950,9589,44.44%
74,0xd1dc4240b07f8b68b0585a3b02403e31f783bf57,polygon,222,722,44.40%
75,0xa6faa95b692962d1faaa6b43a6f20545e0d40861,polygon,4258,13956,43.61%
76,0xa0e7549de2e5217f89d306cbcb514047630d6649,polygon,10,33,43.48%
77,0xfc9ca7e990cb63c6f94729401cd35409bed304c4,ethereum,1056,3307,43.34%
78,0x6bfc2cc988c513a481607777990f7799e84b1442,polygon,134,445,43.09%
79,0x4176d5d5813bb33f1761dbef41107ec1728062f6,polygon,1760,5837,42.99%
80,0x48732a9dbadb474d25100191f8b564c46aa009c5,polygon,5,17,42.77%
81,0x49597c83b4be31c6e676a8e3b4ae7968d3e5c795,avalanche,211,708,42.45%
82,0xb716c4e29a1dbb338f07e8e3aa72052a3a925828,polygon,3458,10982,42.14%
83,0xad4810cf053d329793fc1ad96eced83bfbb435b3,polygon,60,204,41.69%
84,0xe3d799b498b5f307ba252a9f609e93a2faf37172,polygon,4226,14205,41.64%
85,0x42a49ff24567797e9be3340decbe62559dfa84b2,polygon,217,739,41.57%
86,0xf8cee1f50eb61f868be83033344f80cf683e7c2c,polygon,10,35,40.33%
87,0x042d60e7dc84756d93faa21a30aa8deff13fbae9,polygon,15,35,40.00%
88,0xbd5647df24009b536efdb95f8a86056f0e7b6ef6,polygon,57,200,39.86%
89,0xe68e7f19f72499dc02388caca54a1df55c2111b7,polygon,2996,10474,39.50%
90,0x0b27e0972063fe78bbbe9cc193afad9cf2402d88,polygon,903,3210,39.08%
91,0xdbd4d035782e6cd9c234d451d342c4a4fc357140,polygon,1181,4216,38.91%
92,0xddb54301279ace9c2e004f3cc34a301bbafed24f,polygon,353,1266,38.64%
93,0xcdb1214b924e962b2faf6b0a06e5cd1a269309d9,polygon,52,187,38.42%
94,0xb176497c102f6cb1aa64a9de684108db018d5123,polygon,1068,3811,38.17%
95,0xd81f29339146c36b1a662456151b3017ea1bd15e,polygon,113,413,37.67%
96,0xb341f93b91f3052478bb46872b3cb6c99741a0d2,polygon,110,406,37.20%
97,0xba8b871fed50bf9e764a4b350c01ec3ca5d03f28,polygon,20,74,37.04%
98,0x3843dd8e25bdc5d00d67400bb7be6c3aa525d5fa,polygon,118,443,36.31%
99,0xafa6c691e1cbfa7c716b5c322bba00668b5a2c3c,polygon,51,192,36.14%
100,0x2cf0ca740adabb1f69d541084e0e883512c1549e,polygon,50,191,35.46%
101,0x65d3c91a60c0953247a1fb0806d5078032e33803,polygon,53,203,35.34%
102,0xd1ed8dfd122e1b2b1fe2407c40fbcda12d8196f1,polygon,2021,7806,34.59%
103,0x1dc5e15fba2a72a06a9dfeee675e7a1935c5e08d,polygon,1149,4432,34.39%
104,0xe493a6ff589c4e63c73546d9eabb06e2695e782f,polygon,3334,13029,34.39%
105,0xc9b5f7f4a2af47a9a9215d957a8685efb4e67e6a,polygon,183,720,34.09%
106,0x47fbd31c8a6a16794e87fcd49561d6ff26b8357c,polygon,69,273,33.86%
107,0x1bfb7dc05207420c35d0f003c423049bc168e8f8,polygon,50,199,33.60%
108,0xc40d92274004f749fb73e9b206687d88a1ad8b2e,polygon,107,406,33.50%
109,0x818346bbd23dd1e74c326c2e23659055edc56ec8,avalanche,50,200,33.33%
110,0x3aa8826ac7a2a0fc3f69037796b1f768f1970679,polygon,5,20,33.33%
111,0xb4b5eb3d4a8601fd5b959d732c26f3c13f655ae9,polygon,33,133,33.00%
112,0xb9a28ce32dca69ad25e17212bc6d3d753e795aae,polygon,936,3754,32.98%
113,0xd4690ced27007fed0c3fb1738b1e031d6d8092b0,polygon,3393,13816,32.55%
114,0x306a222a9e2bbb65db069fdefd7ab5d515dfa7bb,polygon,2929,11927,32.48%
115,0x20507895512019851f19cc9906e4a8d460cfe711,polygon,113,464,32.18%
116,0x434cb2135f0ca1063714f9f2003df446c64e0504,polygon,16,66,32.00%
117,0xa1bd4ab0a21e55c136b45c278ad36bde9362331d,polygon,16,66,31.99%
118,0x64910e0155e7fe1eb5a51c7694219fadbee4470a,polygon,305,1254,31.45%
119,0x2f443aa0673d9416e15788dc92326f02dcc8fc31,avalanche,50,210,31.31%
120,0x9d44bd5cd98ce450800c92db41a7ce38f81966cc,polygon,50,210,31.25%
121,0x7c792462350ef7e870da112fed29cca6fa4807f9,polygon,143,603,31.09%
122,0x9986a375b1ebdcd902e687d4285c5fe7edd0fc9e,polygon,235,991,31.07%
123,0x97255e94f490a76b78d01f54a75d88221f739f6e,polygon,62,262,31.00%
124,0xf81cf588c563c4134b26eac8dd468aba887f41b5,polygon,3442,13092,30.92%
125,0xca7c19b8948d7438d73cdaca750d048304106972,polygon,50,212,30.84%
126,0x958edad91f2308122c17e689bac02f0409769c48,polygon,318,1308,30.80%
127,0xe52fbcce94f189835769e322e3d0794823027256,polygon,6,21,30.73%
